position_id,strategy,symbol,side,first_time,last_time,volume_in,volume_out,avg_entry,avg_exit,pnl,commission,swap,magics,comments
1339336499,GOLD_PRO_SIGNAL,BTCUSDm,BUY,2026-06-05 19:12:34,2026-06-05 19:13:44,0.01,0.01,60139.22,60737.58,5.99,0.0,0.0,88001,GOLD_PRO_SIGNAL / [tp 60737.58000]
1339458162,BOT_MAGIC_ONLY,XAUUSDm,BUY,2026-06-05 19:29:13,2026-06-08 03:20:26,0.01,0.01,4329.96,4348.456,18.5,0.0,0.0,88001,GOLD_PRO_ORDER / [tp 4348.45600]
1339462267,BOT_MAGIC_ONLY,XAUUSDm,BUY,2026-06-05 19:30:00,2026-06-05 20:00:10,0.01,0.01,4329.092,4346.243,17.15,0.0,0.0,88001,GOLD_PRO_ORDER / [tp 4346.24300]
1340653156,GOLD_PRO_SIGNAL,BTCUSDm,BUY,2026-06-06 02:29:42,2026-06-06 07:15:32,0.01,0.01,60970.21,60000.0,-9.7,0.0,0.0,88001,GOLD_PRO_SIGNAL / [sl 60000.00000]
1340685912,GOLD_PRO_TP1,BTCUSDm,SELL,2026-06-06 03:26:13,2026-06-06 03:32:36,0.01,0.01,61181.99,61403.45,-2.21,0.0,0.0,88001,GOLD_PRO_TP1 / [sl 61402.97000]
1340685914,GOLD_PRO_TP2,BTCUSDm,SELL,2026-06-06 03:26:13,2026-06-06 03:32:36,0.01,0.01,61181.99,61403.45,-2.21,0.0,0.0,88001,GOLD_PRO_TP2 / [sl 61402.97]
1340685915,GOLD_PRO_TP3,BTCUSDm,SELL,2026-06-06 03:26:13,2026-06-06 03:32:36,0.01,0.01,61181.99,61403.45,-2.21,0.0,0.0,88001,GOLD_PRO_TP3 / [sl 61402.97]
1340685861,GOLD_PRO_TP1,BTCUSDm,SELL,2026-06-06 03:32:34,2026-06-06 04:13:21,0.01,0.01,61322.54,61119.01,2.04,0.0,0.0,88001,GOLD_PRO_TP1 / [tp 61119.01000]
1340685864,GOLD_PRO_TP2,BTCUSDm,SELL,2026-06-06 03:32:34,2026-06-06 04:51:05,0.01,0.01,61322.54,60956.19,3.67,0.0,0.0,88001,GOLD_PRO_TP2 / [tp 60956.19000]
1340685865,GOLD_PRO_TP3,BTCUSDm,SELL,2026-06-06 03:32:34,2026-06-06 04:54:26,0.01,0.01,61322.54,61127.9,1.95,0.0,0.0,88001,GOLD_PRO_TP3 / [sl 61119.01]
1347019281,GOLD_PRO_TP1,BTCUSDm,BUY,2026-06-08 14:57:52,2026-06-08 15:11:33,0.01,0.01,63411.26,63021.49,-3.9,0.0,0.0,88001,GOLD_PRO_PARTIAL / GOLD_PRO_TP1
