Date,Open,High,Low,Close
2026-02-08 18:00:00,2092.13,2122.13,2090.69,2109.47
2026-02-08 19:00:00,2109.47,2129.73,2107.66,2126.77
2026-02-08 20:00:00,2126.79,2127.25,2100.26,2104.59
2026-02-08 21:00:00,2104.58,2115.1,2090.0,2093.9
2026-02-08 22:00:00,2093.91,2112.68,2093.83,2108.43
2026-02-08 23:00:00,2108.45,2152.03,2071.6,2089.74
2026-02-09 00:00:00,2089.73,2097.2,2076.33,2084.48
2026-02-09 01:00:00,2084.47,2101.24,2055.01,2070.89
2026-02-09 02:00:00,2070.89,2095.52,2065.71,2081.29
2026-02-09 03:00:00,2081.29,2103.02,2081.29,2100.25
2026-02-09 04:00:00,2100.25,2102.03,2086.66,2090.35
2026-02-09 05:00:00,2090.35,2097.01,2083.75,2095.82
2026-02-09 06:00:00,2095.81,2095.82,2072.43,2081.43
2026-02-09 07:00:00,2081.43,2087.7,2064.67,2065.74
2026-02-09 08:00:00,2065.74,2070.21,2034.56,2050.07
2026-02-09 09:00:00,2050.02,2057.43,2034.61,2042.27
2026-02-09 10:00:00,2042.27,2047.32,2013.25,2022.7
2026-02-09 11:00:00,2022.7,2036.83,2020.89,2028.23
2026-02-09 12:00:00,2028.26,2039.4,2027.53,2035.65
2026-02-09 13:00:00,2035.65,2050.17,2022.3,2022.52
2026-02-09 14:00:00,2022.52,2049.99,2008.62,2043.7
2026-02-09 15:00:00,2043.71,2073.47,2032.1,2061.61
2026-02-09 16:00:00,2061.61,2109.57,2047.78,2091.21
2026-02-09 17:00:00,2091.22,2136.9,2078.0,2127.33
2026-02-09 18:00:00,2127.33,2143.0,2109.53,2130.67
2026-02-09 19:00:00,2130.67,2138.35,2119.25,2131.34
2026-02-09 20:00:00,2131.34,2147.73,2118.34,2124.86
2026-02-09 21:00:00,2124.87,2129.78,2089.0,2122.24
2026-02-09 22:00:00,2122.24,2125.9,2111.4,2115.22
2026-02-09 23:00:00,2115.22,2122.47,2101.67,2105.02
2026-02-10 00:00:00,2105.02,2112.92,2096.49,2096.72
2026-02-10 01:00:00,2096.72,2124.71,2096.4,2117.35
2026-02-10 02:00:00,2117.35,2121.71,2102.73,2108.18
2026-02-10 03:00:00,2108.18,2110.7,2052.14,2064.96
2026-02-10 04:00:00,2064.96,2074.35,2062.91,2070.44
2026-02-10 05:00:00,2070.44,2072.0,2045.57,2053.07
2026-02-10 06:00:00,2053.07,2057.71,1997.59,2008.79
2026-02-10 07:00:00,2008.79,2019.84,1999.99,2007.47
2026-02-10 08:00:00,2007.47,2017.47,1995.83,2014.88
