Date,Open,High,Low,Close
2025-12-02 14:30:00+00:00,23375.873046875,23509.919921875,23365.046875,23433.44140625
2025-12-02 15:30:00+00:00,23431.453125,23526.169921875,23311.623046875,23324.814453125
2025-12-02 16:30:00+00:00,23320.154296875,23459.798828125,23287.16796875,23454.6484375
2025-12-02 17:30:00+00:00,23454.025390625,23468.4453125,23353.390625,23409.451171875
2025-12-02 18:30:00+00:00,23407.095703125,23439.04296875,23379.515625,23416.939453125
2025-12-02 19:30:00+00:00,23415.916015625,23462.4921875,23414.9609375,23449.892578125
2025-12-02 20:30:00+00:00,23448.94140625,23460.380859375,23402.58203125,23412.6015625
2025-12-03 14:30:00+00:00,23312.712890625,23400.318359375,23274.806640625,23364.51171875
2025-12-03 15:30:00+00:00,23358.900390625,23443.12890625,23341.439453125,23400.6171875
2025-12-03 16:30:00+00:00,23398.43359375,23456.513671875,23374.06640625,23451.703125
2025-12-03 17:30:00+00:00,23451.81640625,23472.673828125,23434.220703125,23457.51171875
2025-12-03 18:30:00+00:00,23460.33203125,23479.787109375,23451.642578125,23469.515625
2025-12-03 19:30:00+00:00,23470.072265625,23499.92578125,23464.197265625,23494.689453125
2025-12-03 20:30:00+00:00,23493.02734375,23495.0703125,23447.90234375,23454.525390625
2025-12-04 14:30:00+00:00,23525.59765625,23525.59765625,23373.259765625,23438.30859375
2025-12-04 15:30:00+00:00,23438.8125,23488.8671875,23380.697265625,23450.4453125
2025-12-04 16:30:00+00:00,23447.068359375,23508.82421875,23435.6171875,23471.453125
2025-12-04 17:30:00+00:00,23471.18359375,23493.853515625,23452.427734375,23492.185546875
2025-12-04 18:30:00+00:00,23490.087890625,23499.947265625,23376.068359375,23410.8046875
2025-12-04 19:30:00+00:00,23407.126953125,23482.234375,23405.7265625,23447.5625
2025-12-04 20:30:00+00:00,23447.015625,23508.869140625,23445.078125,23508.869140625
2025-12-05 14:30:00+00:00,23568.3828125,23677.537109375,23532.400390625,23654.828125
2025-12-05 15:30:00+00:00,23654.888671875,23679.158203125,23532.33203125,23545.322265625
2025-12-05 16:30:00+00:00,23542.65234375,23592.701171875,23506.0,23538.521484375
2025-12-05 17:30:00+00:00,23538.052734375,23588.330078125,23512.478515625,23588.330078125
2025-12-05 18:30:00+00:00,23588.046875,23597.44140625,23549.837890625,23562.62109375
2025-12-05 19:30:00+00:00,23562.560546875,23582.88671875,23548.384765625,23566.994140625
2025-12-05 20:30:00+00:00,23566.318359375,23585.17578125,23527.775390625,23574.9453125
2025-12-08 14:30:00+00:00,23648.701171875,23698.9296875,23532.134765625,23566.544921875
2025-12-08 15:30:00+00:00,23561.47265625,23586.921875,23506.27734375,23544.021484375
2025-12-08 16:30:00+00:00,23543.94921875,23547.056640625,23481.59765625,23498.265625
2025-12-08 17:30:00+00:00,23498.572265625,23580.634765625,23493.13671875,23519.5078125
2025-12-08 18:30:00+00:00,23511.625,23523.7265625,23455.73046875,23488.537109375
2025-12-08 19:30:00+00:00,23488.666015625,23511.291015625,23478.458984375,23506.732421875
2025-12-08 20:30:00+00:00,23506.212890625,23548.798828125,23483.48046875,23548.798828125
2025-12-09 14:30:00+00:00,23495.931640625,23546.685546875,23450.76171875,23543.060546875
2025-12-09 15:30:00+00:00,23537.755859375,23590.693359375,23524.595703125,23570.33203125
2025-12-09 16:30:00+00:00,23571.9140625,23607.98046875,23555.384765625,23592.126953125
2025-12-09 17:30:00+00:00,23593.255859375,23615.888671875,23578.853515625,23612.322265625
2025-12-09 18:30:00+00:00,23612.251953125,23616.455078125,23581.447265625,23595.9296875
2025-12-09 19:30:00+00:00,23596.138671875,23603.095703125,23573.0625,23577.099609375
2025-12-09 20:30:00+00:00,23576.060546875,23595.236328125,23565.369140625,23576.11328125
2025-12-10 14:30:00+00:00,23536.900390625,23557.7265625,23460.6953125,23525.826171875
2025-12-10 15:30:00+00:00,23527.068359375,23535.57421875,23436.30078125,23534.91796875
2025-12-10 16:30:00+00:00,23534.9140625,23536.890625,23498.802734375,23501.375
2025-12-10 17:30:00+00:00,23500.431640625,23548.935546875,23476.08984375,23483.208984375
2025-12-10 18:30:00+00:00,23478.41015625,23595.96484375,23471.42578125,23524.9609375
2025-12-10 19:30:00+00:00,23526.87109375,23701.26171875,23489.71484375,23679.234375
2025-12-10 20:30:00+00:00,23682.59375,23703.20703125,23646.365234375,23648.89453125
2025-12-11 14:30:00+00:00,23512.4765625,23515.1953125,23308.951171875,23484.97265625
2025-12-11 15:30:00+00:00,23483.052734375,23492.287109375,23363.77734375,23380.037109375
2025-12-11 16:30:00+00:00,23386.76171875,23527.826171875,23386.76171875,23505.69921875
2025-12-11 17:30:00+00:00,23507.669921875,23543.013671875,23490.54296875,23516.255859375
2025-12-11 18:30:00+00:00,23515.837890625,23593.5546875,23505.859375,23587.80859375
2025-12-11 19:30:00+00:00,23590.7890625,23606.701171875,23566.78515625,23568.34375
2025-12-11 20:30:00+00:00,23567.6328125,23597.396484375,23551.10546875,23597.26171875
2025-12-12 14:30:00+00:00,23493.51953125,23554.888671875,23297.375,23298.306640625
2025-12-12 15:30:00+00:00,23280.203125,23368.12890625,23113.271484375,23185.533203125
2025-12-12 16:30:00+00:00,23182.9140625,23260.94921875,23095.142578125,23196.568359375
2025-12-12 17:30:00+00:00,23201.947265625,23331.244140625,23177.328125,23305.0078125
2025-12-12 18:30:00+00:00,23305.44140625,23310.439453125,23202.19921875,23209.69140625
2025-12-12 19:30:00+00:00,23210.54296875,23244.556640625,23191.6171875,23197.8515625
2025-12-12 20:30:00+00:00,23200.876953125,23203.73828125,23140.080078125,23193.654296875
2025-12-15 14:30:00+00:00,23329.728515625,23344.853515625,23012.666015625,23036.5234375
2025-12-15 15:30:00+00:00,23036.3984375,23206.33203125,23031.876953125,23196.85546875
2025-12-15 16:30:00+00:00,23198.232421875,23201.388671875,23081.4921875,23102.42578125
2025-12-15 17:30:00+00:00,23101.373046875,23134.865234375,23050.2578125,23064.259765625
2025-12-15 18:30:00+00:00,23063.068359375,23133.181640625,23053.54296875,23096.23828125
2025-12-15 19:30:00+00:00,23095.689453125,23108.708984375,23064.98828125,23077.60546875
2025-12-15 20:30:00+00:00,23079.455078125,23093.076171875,23050.919921875,23056.435546875
2025-12-16 14:30:00+00:00,22997.03515625,23125.716796875,22937.35546875,22989.15234375
2025-12-16 15:30:00+00:00,22998.970703125,23066.740234375,22954.068359375,22975.751953125
2025-12-16 16:30:00+00:00,22975.056640625,23065.890625,22959.267578125,23001.869140625
2025-12-16 17:30:00+00:00,23000.482421875,23040.18359375,22920.66015625,22940.375
2025-12-16 18:30:00+00:00,22942.970703125,23064.775390625,22942.94140625,23011.486328125
2025-12-16 19:30:00+00:00,23010.3125,23100.865234375,23008.228515625,23100.66015625
2025-12-16 20:30:00+00:00,23101.265625,23162.470703125,23101.265625,23104.63671875
2025-12-17 14:30:00+00:00,23129.6875,23159.1953125,22999.453125,23068.26171875
