Date,Open,High,Low,Close
2026-02-08 18:00:00,70786.0,71418.0,70750.0,71147.25
2026-02-08 19:00:00,71147.24,71538.05,71142.77,71422.97
2026-02-08 20:00:00,71422.96,71427.73,70700.03,70835.17
2026-02-08 21:00:00,70835.17,71136.03,70524.14,70700.0
2026-02-08 22:00:00,70700.01,71100.04,70652.11,71066.09
2026-02-08 23:00:00,71066.09,72271.41,70000.0,70330.38
2026-02-09 00:00:00,70330.38,70774.4,70123.02,70502.38
2026-02-09 01:00:00,70502.37,70926.4,70068.18,70369.53
2026-02-09 02:00:00,70369.53,71000.0,70220.12,70629.99
2026-02-09 03:00:00,70629.99,71453.53,70614.07,71307.56
2026-02-09 04:00:00,71307.56,71359.37,70924.13,71005.01
2026-02-09 05:00:00,71005.01,71112.0,70805.0,71044.51
2026-02-09 06:00:00,71044.51,71044.52,70311.7,70667.95
2026-02-09 07:00:00,70667.96,70902.51,70331.57,70422.59
2026-02-09 08:00:00,70422.59,70608.83,69393.97,69873.99
2026-02-09 09:00:00,69873.45,70116.0,69478.63,69630.35
2026-02-09 10:00:00,69630.35,69730.38,68420.58,68727.88
2026-02-09 11:00:00,68727.88,69022.89,68573.31,68928.72
2026-02-09 12:00:00,68928.71,69262.91,68857.97,69147.01
2026-02-09 13:00:00,69147.02,69299.99,68586.48,68594.57
2026-02-09 14:00:00,68594.56,69755.59,68308.0,69272.0
2026-02-09 15:00:00,69271.99,69884.82,68780.0,69563.37
2026-02-09 16:00:00,69563.37,70428.48,69100.0,70093.01
2026-02-09 17:00:00,70093.0,71000.0,69870.65,70612.29
2026-02-09 18:00:00,70612.29,71012.0,70088.88,70418.68
2026-02-09 19:00:00,70418.67,71075.31,70260.0,70957.01
2026-02-09 20:00:00,70957.01,71126.0,70500.0,70738.71
2026-02-09 21:00:00,70738.71,70807.75,69823.52,70400.0
2026-02-09 22:00:00,70400.01,70719.7,70271.13,70372.96
2026-02-09 23:00:00,70372.96,70572.84,70083.45,70138.0
2026-02-10 00:00:00,70138.0,70255.36,69743.8,69827.33
2026-02-10 01:00:00,69827.34,70527.59,69827.34,70486.82
2026-02-10 02:00:00,70486.82,70486.82,69982.27,70102.89
2026-02-10 03:00:00,70102.9,70166.22,69208.61,69511.83
2026-02-10 04:00:00,69511.83,69906.5,69469.58,69831.62
2026-02-10 05:00:00,69831.62,69864.0,69210.76,69447.64
2026-02-10 06:00:00,69447.63,69499.9,68682.0,68921.35
2026-02-10 07:00:00,68921.36,69218.64,68852.43,68919.66
2026-02-10 08:00:00,68919.66,69226.16,68725.81,69142.0
2026-02-10 09:00:00,69141.99,69417.7,68950.0,69151.5
2026-02-10 10:00:00,69151.5,69258.52,68921.64,68921.68
2026-02-10 11:00:00,68921.68,69085.79,68459.89,68535.01
2026-02-10 12:00:00,68535.02,68855.35,68434.0,68610.12
2026-02-10 13:00:00,68610.11,69143.6,68370.23,69027.95
2026-02-10 14:00:00,69027.94,69591.2,67800.0,68460.4
2026-02-10 15:00:00,68460.4,69519.72,68300.9,69293.37
2026-02-10 16:00:00,69293.37,69810.35,68945.23,69517.71
2026-02-10 17:00:00,69517.71,69993.65,69309.35,69925.31
2026-02-10 18:00:00,69925.31,69943.44,68604.63,68894.36
2026-02-10 19:00:00,68894.36,69303.99,68690.32,69062.01
2026-02-10 20:00:00,69062.0,69136.91,68629.47,68753.7
2026-02-10 21:00:00,68753.69,69005.45,68362.0,68656.21
2026-02-10 22:00:00,68656.22,68860.4,68566.8,68707.18
