Date,Open,High,Low,Close
2026-02-23 22:45:00,64794.49,64878.0,64639.97,64725.56
2026-02-23 23:00:00,64725.56,64900.63,64702.53,64860.22
2026-02-23 23:15:00,64860.23,64895.19,64780.23,64839.94
2026-02-23 23:30:00,64839.93,64879.88,64612.88,64621.91
2026-02-23 23:45:00,64621.95,64683.77,64538.9,64656.02
2026-02-24 00:00:00,64656.01,64895.02,64656.01,64895.02
2026-02-24 00:15:00,64895.01,65026.75,64803.42,64858.78
2026-02-24 00:30:00,64858.77,64986.68,64826.6,64918.95
2026-02-24 00:45:00,64918.94,64999.76,64874.99,64941.43
2026-02-24 01:00:00,64941.42,64941.42,64240.49,64324.95
2026-02-24 01:15:00,64324.95,64535.09,63433.84,64432.9
2026-02-24 01:30:00,64432.89,64614.5,64068.34,64334.0
2026-02-24 01:45:00,64334.01,64406.45,64067.41,64160.27
2026-02-24 02:00:00,64160.26,64322.7,64000.0,64245.23
2026-02-24 02:15:00,64245.24,64317.25,64023.11,64313.72
2026-02-24 02:30:00,64313.73,64500.0,64115.29,64132.43
2026-02-24 02:45:00,64132.42,64180.88,64078.59,64109.81
2026-02-24 03:00:00,64109.8,64109.8,63558.15,63685.23
2026-02-24 03:15:00,63685.23,63853.0,63576.74,63705.78
2026-02-24 03:30:00,63705.79,63789.38,63639.34,63672.47
2026-02-24 03:45:00,63672.47,63689.81,63342.9,63595.51
2026-02-24 04:00:00,63595.51,63628.52,63000.0,63012.06
2026-02-24 04:15:00,63012.06,63394.15,62868.69,63220.71
2026-02-24 04:30:00,63220.71,63367.81,62986.16,63338.78
2026-02-24 04:45:00,63338.78,63394.16,63239.75,63378.84
2026-02-24 05:00:00,63378.84,63551.58,63280.0,63497.07
2026-02-24 05:15:00,63497.06,63497.07,62700.8,62820.77
2026-02-24 05:30:00,62820.77,63084.56,62728.04,62989.98
2026-02-24 05:45:00,62989.99,63105.84,62952.68,63104.79
2026-02-24 06:00:00,63104.79,63229.34,62900.0,63145.35
2026-02-24 06:15:00,63145.36,63316.64,63109.94,63211.11
2026-02-24 06:30:00,63211.11,63322.28,63170.0,63260.01
2026-02-24 06:45:00,63260.01,63260.01,62919.5,63082.79
2026-02-24 07:00:00,63082.79,63367.2,62866.42,63327.48
2026-02-24 07:15:00,63327.48,63346.3,63155.57,63274.86
2026-02-24 07:30:00,63274.87,63300.0,63087.85,63096.48
2026-02-24 07:45:00,63096.47,63200.0,63005.31,63192.96
2026-02-24 08:00:00,63192.79,63274.65,63009.92,63218.67
2026-02-24 08:15:00,63218.66,63323.34,63087.19,63298.21
2026-02-24 08:30:00,63298.21,63425.94,63267.48,63381.79
2026-02-24 08:45:00,63381.79,63444.66,63345.22,63392.15
2026-02-24 09:00:00,63392.15,63411.8,63212.29,63285.29
2026-02-24 09:15:00,63285.29,63300.0,63100.0,63144.83
2026-02-24 09:30:00,63144.83,63200.0,62908.92,63150.18
2026-02-24 09:45:00,63150.18,63257.59,63050.39,63249.99
2026-02-24 10:00:00,63250.0,63282.86,63112.7,63219.31
2026-02-24 10:15:00,63219.31,63307.84,63156.24,63269.99
2026-02-24 10:30:00,63269.99,63300.0,63150.0,63205.91
2026-02-24 10:45:00,63205.92,63369.71,63165.49,63284.5
2026-02-24 11:00:00,63284.51,63317.95,63183.42,63197.35
2026-02-24 11:15:00,63197.35,63237.32,63147.06,63170.01
2026-02-24 11:30:00,63170.01,63250.0,63063.63,63201.35
2026-02-24 11:45:00,63201.34,63240.0,63150.03,63227.1
2026-02-24 12:00:00,63227.11,63306.92,63101.7,63264.4
2026-02-24 12:15:00,63264.39,63343.59,63222.89,63324.02
2026-02-24 12:30:00,63324.03,63340.48,63080.4,63113.58
2026-02-24 12:45:00,63113.58,63135.81,62965.21,62969.05
2026-02-24 13:00:00,62969.04,63097.65,62910.57,63079.86
2026-02-24 13:15:00,63079.86,63100.0,62851.63,62920.29
2026-02-24 13:30:00,62920.3,63091.57,62510.28,62931.54
2026-02-24 13:45:00,62931.54,63030.02,62890.39,62900.0
2026-02-24 14:00:00,62900.01,63016.0,62762.03,62944.02
2026-02-24 14:15:00,62944.03,63029.07,62800.7,63000.89
2026-02-24 14:30:00,63000.89,63463.83,62767.3,63336.41
2026-02-24 14:45:00,63336.4,63834.21,63267.14,63453.99
2026-02-24 15:00:00,63454.0,63661.0,63300.0,63585.0
2026-02-24 15:15:00,63581.94,63970.05,63550.06,63928.22
2026-02-24 15:30:00,63928.21,63983.72,63666.22,63748.29
2026-02-24 15:45:00,63748.28,64031.76,63720.41,63973.97
2026-02-24 16:00:00,63973.98,64428.9,63956.62,64163.3
2026-02-24 16:15:00,64163.3,64219.38,63882.75,63956.21
2026-02-24 16:30:00,63956.21,64132.15,63689.54,64043.02
2026-02-24 16:45:00,64043.03,64300.0,63814.53,64265.52
2026-02-24 17:00:00,64265.53,64520.0,64166.17,64412.0
2026-02-24 17:15:00,64412.0,64412.0,64109.94,64147.96
2026-02-24 17:30:00,64147.96,64264.55,64099.74,64099.75
2026-02-24 17:45:00,64099.75,64264.37,64042.8,64219.71
2026-02-24 18:00:00,64219.7,64414.88,63872.72,63970.62
2026-02-24 18:15:00,63970.63,64348.91,63931.59,64292.0
2026-02-24 18:30:00,64292.01,64498.18,64287.44,64370.98
2026-02-24 18:45:00,64370.97,64500.0,64364.7,64435.06
2026-02-24 19:00:00,64435.05,64743.11,64259.1,64310.66
2026-02-24 19:15:00,64310.66,64426.79,64250.52,64312.96
2026-02-24 19:30:00,64312.96,64518.96,64303.75,64472.18
2026-02-24 19:45:00,64472.18,64488.58,64387.31,64435.03
2026-02-24 20:00:00,64435.03,64481.76,64318.03,64397.43
2026-02-24 20:15:00,64397.43,64508.61,64397.43,64473.95
2026-02-24 20:30:00,64473.96,64591.99,64392.82,64499.99
2026-02-24 20:45:00,64499.99,64520.69,64388.8,64472.9
2026-02-24 21:00:00,64472.9,64472.9,64134.97,64241.1
2026-02-24 21:15:00,64241.09,64241.1,63820.5,63916.22
2026-02-24 21:30:00,63916.22,64070.22,63871.79,64015.28
2026-02-24 21:45:00,64015.28,64086.29,63993.6,64042.66
2026-02-24 22:00:00,64042.66,64227.81,63973.79,64219.6
2026-02-24 22:15:00,64219.6,64219.7,64086.24,64145.11
2026-02-24 22:30:00,64145.11,64187.23,64073.93,64090.44
2026-02-24 22:45:00,64090.44,64145.52,63984.32,64120.95
2026-02-24 23:00:00,64120.96,64148.7,63853.99,64071.98
2026-02-24 23:15:00,64071.97,64220.04,64067.55,64185.01
2026-02-24 23:30:00,64185.01,64248.65,64128.29,64142.19
2026-02-24 23:45:00,64142.19,64142.19,64027.0,64058.15
2026-02-25 00:00:00,64058.15,64080.81,63913.27,63919.23
2026-02-25 00:15:00,63919.22,64061.34,63918.26,63959.99
2026-02-25 00:30:00,63960.0,64271.42,63960.0,64257.6
2026-02-25 00:45:00,64257.59,64319.29,64139.19,64224.3
2026-02-25 01:00:00,64224.29,65940.92,64145.2,65606.34
2026-02-25 01:15:00,65606.34,66300.0,65423.53,65944.66
2026-02-25 01:30:00,65944.67,66271.99,65769.46,65813.69
2026-02-25 01:45:00,65813.68,66057.14,65784.1,65896.75
2026-02-25 02:00:00,65896.74,66310.0,65890.62,66229.81
2026-02-25 02:15:00,66229.81,66257.4,66036.58,66113.25
2026-02-25 02:30:00,66113.24,66173.73,65883.01,65933.96
2026-02-25 02:45:00,65933.96,66025.93,65866.66,65884.83
2026-02-25 03:00:00,65884.84,65955.87,65807.35,65834.99
2026-02-25 03:15:00,65834.99,65848.61,65493.8,65586.17
2026-02-25 03:30:00,65586.17,65636.61,65371.99,65459.61
2026-02-25 03:45:00,65459.62,65553.28,65350.28,65391.73
2026-02-25 04:00:00,65391.74,65533.82,65116.65,65439.57
2026-02-25 04:15:00,65439.56,65622.91,65349.37,65589.68
2026-02-25 04:30:00,65589.68,65650.0,65536.58,65638.65
2026-02-25 04:45:00,65638.66,65638.66,65412.0,65457.99
2026-02-25 05:00:00,65458.0,65511.21,65311.2,65339.8
2026-02-25 05:15:00,65339.81,65381.08,65157.94,65197.5
2026-02-25 05:30:00,65197.5,65239.72,64755.26,64839.45
2026-02-25 05:45:00,64839.45,64993.6,64769.69,64882.76
2026-02-25 06:00:00,64882.77,65024.57,64882.29,64989.1
2026-02-25 06:15:00,64989.1,65124.04,64908.2,65027.52
2026-02-25 06:30:00,65027.52,65118.92,64982.5,65093.5
2026-02-25 06:45:00,65093.5,65094.73,64865.78,64898.22
2026-02-25 07:00:00,64898.22,65080.39,64781.18,65027.36
2026-02-25 07:15:00,65027.35,65193.25,65002.74,65116.59
2026-02-25 07:30:00,65116.59,65189.87,64876.91,64944.66
2026-02-25 07:45:00,64944.66,65045.57,64930.28,65028.3
2026-02-25 08:00:00,65028.3,65090.34,64955.79,65032.95
2026-02-25 08:15:00,65032.95,65247.1,65011.99,65192.31
2026-02-25 08:30:00,65192.32,65464.2,65188.89,65420.85
2026-02-25 08:45:00,65420.85,65586.87,65375.4,65530.49
2026-02-25 09:00:00,65530.48,65692.62,65454.43,65552.0
2026-02-25 09:15:00,65552.0,65641.12,65511.45,65570.1
2026-02-25 09:30:00,65570.09,65570.1,65396.47,65467.38
2026-02-25 09:45:00,65467.39,65579.67,65455.84,65558.71
2026-02-25 10:00:00,65558.71,65612.49,65473.02,65568.58
2026-02-25 10:15:00,65568.57,65648.74,65362.25,65368.19
2026-02-25 10:30:00,65368.19,65425.0,65345.0,65423.96
2026-02-25 10:45:00,65423.96,65512.5,65361.83,65400.87
2026-02-25 11:00:00,65400.87,65401.47,65200.8,65244.63
2026-02-25 11:15:00,65244.64,65400.0,65204.0,65362.21
2026-02-25 11:30:00,65362.2,65485.91,65331.99,65433.81
2026-02-25 11:45:00,65433.81,65459.97,65375.14,65430.04
2026-02-25 12:00:00,65430.04,65531.01,65324.62,65498.32
2026-02-25 12:15:00,65498.33,65929.94,65490.13,65780.6
2026-02-25 12:30:00,65780.6,65887.87,65749.1,65842.02
2026-02-25 12:45:00,65842.02,66240.0,65820.01,66068.94
2026-02-25 13:00:00,66068.94,66300.0,66033.21,66050.01
2026-02-25 13:15:00,66050.01,66250.0,66025.39,66179.44
2026-02-25 13:30:00,66179.44,66416.69,66142.7,66315.81
2026-02-25 13:45:00,66315.81,66684.1,66219.36,66248.62
2026-02-25 14:00:00,66248.63,66499.79,66207.72,66482.86
2026-02-25 14:15:00,66482.86,66628.21,66436.67,66579.46
2026-02-25 14:30:00,66579.2,66779.64,66202.66,66259.02
2026-02-25 14:45:00,66259.02,67009.78,66253.2,66973.2
2026-02-25 15:00:00,66973.19,67249.2,66765.47,66844.44
2026-02-25 15:15:00,66844.45,67071.91,66715.13,67071.05
2026-02-25 15:30:00,67071.06,67550.83,66966.84,67515.29
2026-02-25 15:45:00,67515.3,67578.0,67218.71,67412.33
2026-02-25 16:00:00,67412.32,67788.52,67404.0,67601.23
2026-02-25 16:15:00,67601.24,68100.01,67575.01,67872.16
2026-02-25 16:30:00,67872.17,68000.0,67823.52,67954.52
2026-02-25 16:45:00,67954.53,68332.0,67954.52,68297.35
2026-02-25 17:00:00,68297.35,68647.23,68016.53,68512.4
2026-02-25 17:15:00,68512.39,68686.86,68275.62,68565.44
2026-02-25 17:30:00,68565.44,68770.0,68400.89,68770.0
2026-02-25 17:45:00,68770.0,68879.96,68600.0,68674.2
2026-02-25 18:00:00,68674.2,68918.79,68373.33,68871.08
2026-02-25 18:15:00,68871.09,69500.0,68708.35,69348.39
2026-02-25 18:30:00,69348.39,69550.0,69203.49,69478.55
2026-02-25 18:45:00,69478.55,69509.26,69262.7,69328.07
2026-02-25 19:00:00,69328.06,69406.93,68764.94,68915.55
2026-02-25 19:15:00,68915.55,69153.28,68854.45,68972.9
2026-02-25 19:30:00,68972.9,69004.56,68779.6,68896.61
2026-02-25 19:45:00,68896.62,69093.34,68850.08,69038.26
2026-02-25 20:00:00,69038.26,69091.4,68619.22,68644.69
2026-02-25 20:15:00,68644.68,68873.18,68640.76,68802.37
2026-02-25 20:30:00,68802.38,69200.0,68775.76,69124.96
2026-02-25 20:45:00,69124.96,69374.95,69100.01,69148.69
2026-02-25 21:00:00,69148.69,69226.28,68940.0,68990.91
2026-02-25 21:15:00,68990.92,69069.5,68800.0,68803.7
2026-02-25 21:30:00,68803.71,69988.83,68773.83,69221.59
2026-02-25 21:45:00,69221.59,69221.59,68812.4,68919.72
2026-02-25 22:00:00,68919.72,69176.0,68886.99,69074.88
2026-02-25 22:15:00,69074.88,69089.25,68830.01,68878.86
2026-02-25 22:30:00,68878.87,68905.97,68268.53,68420.42
2026-02-25 22:45:00,68420.42,68529.83,68055.91,68432.13
2026-02-25 23:00:00,68432.13,68696.97,68212.52,68517.64
2026-02-25 23:15:00,68517.64,68522.0,68262.83,68277.25
2026-02-25 23:30:00,68277.24,68294.02,67600.0,67695.86
2026-02-25 23:45:00,67695.87,68000.0,67642.39,67988.04
2026-02-26 00:00:00,67988.04,68172.0,67727.52,68153.57
2026-02-26 00:15:00,68153.58,68445.82,68119.7,68280.8
2026-02-26 00:30:00,68280.79,68539.17,67974.51,68195.93
2026-02-26 00:45:00,68195.93,68373.25,68119.04,68335.99
2026-02-26 01:00:00,68335.99,68700.0,68210.35,68568.51
2026-02-26 01:15:00,68568.5,68593.91,68370.23,68390.41
2026-02-26 01:30:00,68390.41,68551.99,68221.44,68347.47
2026-02-26 01:45:00,68347.47,68393.2,68224.6,68248.3
2026-02-26 02:00:00,68248.3,68267.1,67779.93,67863.22
2026-02-26 02:15:00,67863.23,68152.15,67863.22,67936.4
2026-02-26 02:30:00,67936.41,68201.35,67936.41,68184.94
2026-02-26 02:45:00,68184.94,68351.0,68105.65,68257.45
2026-02-26 03:00:00,68257.46,68379.59,68046.38,68145.89
2026-02-26 03:15:00,68145.89,68186.54,68072.39,68102.57
2026-02-26 03:30:00,68102.57,68279.75,68044.18,68239.36
2026-02-26 03:45:00,68239.37,68316.16,68182.4,68216.86
2026-02-26 04:00:00,68216.87,68613.69,68179.62,68526.27
2026-02-26 04:15:00,68526.27,68693.42,68424.76,68562.56
2026-02-26 04:30:00,68562.55,68860.0,68552.12,68728.89
2026-02-26 04:45:00,68728.89,68745.38,68570.57,68571.36
2026-02-26 05:00:00,68571.36,68571.37,68231.31,68301.57
2026-02-26 05:15:00,68301.56,68412.48,68127.58,68357.86
2026-02-26 05:30:00,68357.86,68447.4,68261.72,68414.34
2026-02-26 05:45:00,68414.35,68509.57,68348.85,68443.81
2026-02-26 06:00:00,68443.82,68522.0,68282.7,68459.95
2026-02-26 06:15:00,68459.96,68459.96,68250.01,68255.65
2026-02-26 06:30:00,68255.65,68260.2,68122.54,68127.56
2026-02-26 06:45:00,68127.56,68226.98,68042.9,68176.75
2026-02-26 07:00:00,68176.75,68264.7,68167.91,68229.23
2026-02-26 07:15:00,68229.22,68290.18,68103.3,68177.7
2026-02-26 07:30:00,68177.69,68194.11,67994.81,67999.85
2026-02-26 07:45:00,67999.85,68018.93,67817.87,67825.04
2026-02-26 08:00:00,67825.05,68049.72,67792.0,68048.93
2026-02-26 08:15:00,68048.93,68236.0,67965.7,68029.71
2026-02-26 08:30:00,68029.72,68144.27,67927.74,67990.0
2026-02-26 08:45:00,67990.0,68116.7,67904.0,67954.01
2026-02-26 09:00:00,67954.0,68418.51,67933.25,68325.83
2026-02-26 09:15:00,68325.83,68328.13,68159.12,68188.52
2026-02-26 09:30:00,68188.52,68471.89,68150.0,68400.03
2026-02-26 09:45:00,68400.04,68644.59,68400.03,68589.41
2026-02-26 10:00:00,68589.41,68722.64,68500.0,68514.86
2026-02-26 10:15:00,68514.85,68542.17,68332.27,68332.28
2026-02-26 10:30:00,68332.27,68464.49,68270.96,68440.0
2026-02-26 10:45:00,68439.99,68450.4,68257.64,68301.62
2026-02-26 11:00:00,68301.61,68404.25,68261.1,68347.55
2026-02-26 11:15:00,68347.55,68352.19,68144.15,68158.58
2026-02-26 11:30:00,68158.59,68230.7,68071.68,68084.73
2026-02-26 11:45:00,68084.72,68100.39,67965.46,68051.31
